,Address,latitude,longitude
154,"Brodnicka, 60-432 Poznań, Poland",52.4387692,16.8353923
155,"Bronisława, 61-001 Poznań, Poland",52.4620487,16.9346668
156,"Bronisława Malinowskiego, 61-332 Poznań, Poland",52.3344199,16.9205402
157,"Bronisza, 61-608 Poznań, Poland",52.4545758,16.9499621
158,"Bronowa, 60-650 Poznań, Poland",52.4420051,16.9101805
159,"Browarna, 61-001 Poznań, Poland",52.4003938,17.0185923
160,"Bruzdowa, 61-324 Poznań, Poland",52.3554644,16.9993482
161,"Brzask, 61-001 Poznań, Poland",52.40688489999999,16.8785659
162,"Brzeska, 61-001 Poznań, Poland",52.40720169999999,16.9841515
163,"Brzeźnicka, 61-001 Poznań, Poland",52.3903632,16.8756907
164,"Brzóski, 61-414 Poznań, Poland",52.3675662,16.8780147
165,"Brzoskwiniowa, 61-306 Poznań, Poland",52.3617153,17.0209303
166,"Brzozowa, 61-001 Poznań, Poland",52.3692798,16.8956208
167,"Buczka, Poznań, Poland",52.3646523,16.8861151
168,"Budzisława, 61-608 Poznań, Poland",52.45521189999999,16.9510793
169,"Budziszyńska, 60-179 Poznań, Poland",52.3924038,16.8422989
170,"Budzyńska, 60-416 Poznań, Poland",52.433798,16.8429198
171,"Bukowa, 61-441 Poznań, Poland",52.3645603,16.9051742
172,"Bukowska, Poznań, Poland",52.41346679999999,16.8228191
173,"Bułgarska, Poznań, Poland",52.4038258,16.866776
174,"Burgundzka, 61-615 Poznań, Poland",52.4466701,16.9320181
175,"Bursztynowa, 61-680 Poznań, Poland",52.4721459,16.9493674
176,"Burysława, 61-001 Poznań, Poland",52.4584877,16.9479072
177,"Burzyńskiego, 60-408 Poznań, Poland",52.4234728,16.8547555
178,"Buska, Poznań, Poland",52.4468685,16.8859732
179,"Bużańska, 60-401 Poznań, Poland",52.4239642,16.8677527
180,"Byczyńska, Poznań, Poland",52.3951972,16.8608446
181,"Bydgoska, 61-001 Poznań, Poland",52.4123184,16.9554984
182,"Bylicowa, 61-680 Poznań, Poland",52.4738242,16.9410368
183,"Bystra, Poznań, Poland",52.3694253,16.9395421
184,"Bystrzycka, 60-401 Poznań, Poland",52.4222779,16.8739527
185,"Bytomska, 61-001 Poznań, Poland",52.364387,16.8931974
186,"Bzowa, 61-478 Poznań, Poland",52.3759509,16.9085157
187,"Cedrowa, 61-453 Poznań, Poland",52.3663451,16.9057857
188,"Cedzyńska, Poznań, Poland",52.36682219999999,16.8490667
189,"Ceglana, Poznań, Poland",52.3721984,16.8615537
190,"Celichowskich, 61-680 Poznań, Poland",52.4876794,16.9175078
191,"Ceramiczna, 60-001 Poznań, Poland",52.3736137,16.8529918
192,"Cetniewska, 60-446 Poznań, Poland",52.4368908,16.8177875
193,"Chabrowa, Poznań, Poland",52.3380856,16.7934495
194,"Charzykowska, 60-451 Poznań, Poland",52.4327798,16.8114405
195,"Chęcińska, Poznań, Poland",52.35377219999999,16.9414529
196,"Chełmińska, 60-651 Poznań, Poland",52.4249741,16.9159907
197,"Chełmońskiego, 61-001 Poznań, Poland",52.3999742,16.8989233
198,"Chemiczna, 61-001 Poznań, Poland",52.4314112,16.9719658
199,"Chłapowskiego, 61-001 Poznań, Poland",52.387893,16.9203642
200,"Chlebowa, 61-001 Poznań, Poland",52.4159668,16.9607318
201,"Chłodna, 61-001 Poznań, Poland",52.3935948,16.8982243
202,"Chmielna, 61-001 Poznań, Poland",52.3706162,16.9127548
203,"Chmurna, 61-680 Poznań, Poland",52.4687778,16.898353
204,"Chochołowska, 60-476 Poznań, Poland",52.4462428,16.88647
205,"Chociebora, 61-001 Poznań, Poland",52.4079971,17.0262224
206,"Chocimska, 60-688 Poznań, Poland",52.4624046,16.9029986
207,"Chociszewskiego, 61-001 Poznań, Poland",52.39276359999999,16.8895791
208,"Chodzieska, Poznań, Poland",52.4340876,16.8420722
209,"Chojnicka, Poznań, Poland",52.4688104,16.8020332
210,"Chomęcicka, 60-102 Poznań, Poland",52.3713121,16.8690106
211,"Chopina, 61-001 Poznań, Poland",52.413662,16.9189911
212,"Chotomińska, 61-001 Poznań, Poland",52.367007,16.9962968
213,"Chrobacka, 61-615 Poznań, Poland",52.4467551,16.9416654
214,"Chryzantemowa, Poznań, Poland",52.389315,16.8157732
215,"Chrzanowska, Poznań, Poland",52.3482614,17.0121745
216,"Chyżańska, 61-001 Poznań, Poland",52.3876508,16.9584521
217,"Ciasna, 61-755 Poznań, Poland",52.4089506,16.9420662
218,"Cicha, 61-001 Poznań, Poland",52.416438,16.9226227
219,"Ciechocińska, 60-474 Poznań, Poland",52.45053249999999,16.8822589
220,"Cienista, Poznań, Poland",52.4178175,16.8810972
221,"Cieplicka, 60-472 Poznań, Poland",52.4527935,16.8847217
222,"Cieszkowskiego, 60-462 Poznań, Poland",52.4607241,16.8747151
223,"Cieszymira, 61-001 Poznań, Poland",52.4074477,17.0279116
224,"Cieszyńska, 61-434 Poznań, Poland",52.3643789,16.8961866
225,"Cisowa, 61-001 Poznań, Poland",52.37481039999999,16.8943044
226,"Cmentarna, Poznań, Poland",52.3905114,16.8297496
227,"Cybińska, 61-001 Poznań, Poland",52.4111126,16.9520579
228,"Cybulskiego, 61-001 Poznań, Poland",52.39190860000001,16.8888686
229,"Cyniowa, 60-175 Poznań, Poland",52.3834227,16.8212772
230,"Cyprysowa, 61-001 Poznań, Poland",52.3662127,16.9053892
231,"Cytrynowa, Poznań, Poland",52.46395279999999,16.9520144
232,"Czajcza, 61-001 Poznań, Poland",52.3928086,16.9232342
233,"Czapla, 61-001 Poznań, Poland",52.4283093,16.9524867
234,"Czaplinecka, 60-434 Poznań, Poland",52.4409819,16.8375297
235,"Czarna Rola, 61-001 Poznań, Poland",52.4348666,16.9435506
236,"Czarnieckiego, 61-538 Poznań, Poland",52.3932126,16.9167402
237,"Czarnkowska, Poznań, Poland",52.4334366,16.8448747
238,"Czarnohorska, Poznań, Poland",52.4345667,16.8590072
239,"Czarnucha, Poznań, Poland",52.44957100000001,16.9570867
240,"Czartoria, 61-001 Poznań, Poland",52.4079801,16.9428196
241,"Czechosłowacka, 61-001 Poznań, Poland",52.3733919,16.8946069
242,"Czechowska, 60-447 Poznań, Poland",52.4352388,16.823829
243,"Czeladzka, 61-001 Poznań, Poland",52.3597666,16.8895911
244,"Czempińska, 61-001 Poznań, Poland",52.3777797,16.8752827
245,"Czeremchowa, 61-001 Poznań, Poland",52.37331649999999,16.8968412
246,"Czereśniowa, 61-400 Poznań, Poland",52.3713207,16.894763
247,"Czernichowska, Poznań, Poland",52.3445815,16.9296831
248,"Czerniejewska, Poznań, Poland",52.41161880000001,16.9824171
249,"Czerska, 60-446 Poznań, Poland",52.4287281,16.8200252
250,"Czesława Gerwela, 60-177 Poznań, Poland",52.3920561,16.8349911
251,"Czesława Miłosza, 60-461 Poznań, Poland",52.4533257,16.8711744
252,"Cześnikowska, 61-001 Poznań, Poland",52.4008753,16.8719577
253,"Częstochowska, 61-001 Poznań, Poland",52.38441160000001,16.8816713
254,"Człopska, Poznań, Poland",52.4331867,16.8143019
255,"Człuchowska, Poznań, Poland",52.4393618,16.8398336
256,"Czorsztyńska, 60-474 Poznań, Poland",52.4473455,16.8830958
257,"Czwartaków, 61-001 Poznań, Poland",52.3816737,16.9185296
258,"Czysta, Poznań, Poland",52.3700747,16.9446531
259,"Dąbrówki, 61-001 Poznań, Poland",52.3870842,16.9201422
260,"Daleka, 61-001 Poznań, Poland",52.381921,16.8893121
261,"Dalemińska, 61-614 Poznań, Poland",52.4500158,16.9322392
262,"Daliowa, 60-175 Poznań, Poland",52.3890409,16.8083747
263,"Danuty, 61-055 Poznań, Poland",52.40800110000001,17.006653
264,"Darłowska, Poznań, Poland",52.4328817,16.823945
265,"Darniowa, Poznań, Poland",52.4159424,17.0587859
266,"Darzyborska, Poznań, Poland",52.3764717,17.0459617
267,"Darzyńska, Poznań, Poland",52.3798039,17.0334599
268,"Daszewicka, 61-329 Poznań, Poland",52.3159532,16.9527589
269,"Daszyńskiego, 61-421 Poznań, Poland",52.3669863,16.8860213
270,"Dębicka, Poznań, Poland",52.356858,16.97492
271,"Dęblińska, Poznań, Poland",52.3522535,16.9382075
272,"Dębowa, 61-001 Poznań, Poland",52.3683369,16.9129809
273,"Dedala, 60-408 Poznań, Poland",52.4234728,16.8547555
274,"Dereniowa, 61-306 Poznań, Poland",52.36138450000001,17.0283825
275,"Deszczowa, 61-680 Poznań, Poland",52.4683698,16.9070923
276,"Diamentowa, 61-680 Poznań, Poland",52.4710107,16.9592363
277,"Długa, 61-001 Poznań, Poland",52.4037923,16.9335977
278,"Długosza, Poznań, Poland",52.4128386,16.8920481
279,"Dmowskiego, 61-001 Poznań, Poland",52.385524,16.8951315
280,"Dniestrzańska, 60-413 Poznań, Poland",52.4302869,16.8536943
281,"Dobiegniewska, 60-182 Poznań, Poland",52.4051763,16.8280634
282,"Dobra, Poznań, Poland",52.4183435,16.8738239
283,"Dobrepole, Poznań, Poland",52.3457231,17.0249467
284,"Dobrochny, 61-001 Poznań, Poland",52.408989,17.0158268
285,"Dobrodzieńska, 60-166 Poznań, Poland",52.38806899999999,16.8542583
286,"Dobrogojskiego, 61-692 Poznań, Poland",52.440199,16.9155191
287,"Dobromiejska, 60-461 Poznań, Poland",52.4566366,16.8479355
288,"Dobromiły, 61-001 Poznań, Poland",52.407789,17.0123506
289,"Dobrowita, 61-001 Poznań, Poland",52.4061926,17.0185936
290,"Dobrzyckiego, 61-692 Poznań, Poland",52.4401582,16.914056
291,"Dojazd, 60-631 Poznań, Poland",52.4353341,16.9005979
292,"Dolina, 61-001 Poznań, Poland",52.3941009,16.9242755
293,"Dolna, 61-680 Poznań, Poland",52.4693723,16.9557063
294,"Dolna Wilda, 61-001 Poznań, Poland",52.37638099999999,16.9189976
295,"Dolne Chyby, Poznań, Poland",52.4577672,16.7823782
296,"Dolska, 61-001 Poznań, Poland",52.3928241,16.9571953
297,"Dominikańska, 61-001 Poznań, Poland",52.409529,16.9364845
298,"Dożynkowa, 61-001 Poznań, Poland",52.4253502,16.9243929
299,"Do Alei, 61-638 Poznań, Poland",52.4313132,16.9381298
300,"Drawska, 60-103 Poznań, Poland",52.3700905,16.8801083
301,"Drewlańska, 61-614 Poznań, Poland",52.4528259,16.9292202
302,"Drobna, 61-001 Poznań, Poland",52.38672889999999,16.894015
303,"Drobnika, 61-001 Poznań, Poland",52.4514192,16.9064252
304,"Droga Dębińska, Poznań, Poland",52.3869592,16.9304986
305,"Drogocin, 61-680 Poznań, Poland",52.4890815,16.9105202
306,"Drogowców, 60-447 Poznań, Poland",52.43112,16.8210177
307,"Druskienicka, Poznań, Poland",52.4458899,16.8885439
308,"Drużbackiej, 61-001 Poznań, Poland",52.3984891,16.8985734
309,"Drużbickiego, 61-001 Poznań, Poland",52.4403826,16.9184106
310,"Drużynowa, 61-001 Poznań, Poland",52.3796574,16.8964536
311,"Drwali, 61-058 Poznań, Poland",52.4117895,17.0445026
312,"Drwęskiego, 60-688 Poznań, Poland",52.4548285,16.8975524
313,"Drzewieckiego, 61-001 Poznań, Poland",52.41712769999999,16.8604903
314,"Drzymały, Poznań, Poland",52.4222095,16.9131217
315,"Dukielska, Poznań, Poland",52.4492828,16.8888472
316,"Dunajecka, 60-413 Poznań, Poland",52.430426,16.8522018
317,"Dunikowskiego, 61-407 Poznań, Poland",52.3613487,16.8784354
318,"Duszna, 61-001 Poznań, Poland",52.3873964,16.899658
319,"Dusznicka, 60-464 Poznań, Poland",52.45663889999999,16.8727078
320,"Dwatory, 61-001 Poznań, Poland",52.3843781,16.9019577
321,"Dworcowa, 61-001 Poznań, Poland",52.4044394,16.9125409
322,"Dworkowa, 61-001 Poznań, Poland",52.4168533,16.9164151
323,"Dworska, 61-001 Poznań, Poland",52.4438457,16.9477905
324,"Dybowskiego, 61-001 Poznań, Poland",52.4307933,16.9247416
325,"Dymka, 61-001 Poznań, Poland",52.39242840000001,16.9979414
326,"Dziadoszańska, 61-248 Poznań, Poland",52.3769204,16.9710075
327,"Działkowa, 61-001 Poznań, Poland",52.3889462,16.8800486
328,"Działoszycka, 61-334 Poznań, Poland",52.3427592,16.9267555
329,"Działowa, 61-001 Poznań, Poland",52.4126505,16.931114
330,"Działyńskich, 61-714 Poznań, Poland",52.41155329999999,16.9245744
331,"Dzicza, 61-058 Poznań, Poland",52.4097294,17.0432311
332,"Dzieci Wrzesińskich, 61-065 Poznań, Poland",52.3948368,17.023073
333,"Dziedzicka, 61-341 Poznań, Poland",52.3530003,16.9279598
334,"Dzięgielowa, 61-602 Poznań, Poland",52.4682553,16.9462257
335,"Dziekańska, 61-001 Poznań, Poland",52.4127772,16.9499147
336,"Dziewanny, 61-615 Poznań, Poland",52.447934,16.9407494
337,"Dziewińska, Poznań, Poland",52.3915867,16.8412382
338,"Dziurawcowa, 61-680 Poznań, Poland",52.4795743,16.9468182
339,"Dziwnowska, 60-446 Poznań, Poland",52.4356699,16.8195298
340,"Edmunda Calliera, 61-001 Poznań, Poland",52.395101,16.9045638
341,"Edmunda Knolla-Kownackiego, 61-615 Poznań, Poland",52.4450873,16.9393823
342,"Edmunda Taczanowskiego, Poznań, Poland",52.3915702,16.8687951
343,"Edwarda Dembowskiego, 61-001 Poznań, Poland",52.4474579,16.9058983
344,"Edwarda Taylora, 61-001 Poznań, Poland",52.4057671,16.9190144
345,"Elbląska, 60-454 Poznań, Poland",52.4384343,16.8256641
346,"Emilii Plater, 61-406 Poznań, Poland",52.3628671,16.8868554
347,"Engeströma, Poznań, Poland",52.4149943,16.8888147
348,"Estkowskiego, 61-755 Poznań, Poland",52.410445,16.941429
349,"Estońska, 61-001 Poznań, Poland",52.4411833,16.9339053
350,"Eurypidesa, 60-461 Poznań, Poland",52.4457512,16.87732
351,"Ewangelicka, 61-001 Poznań, Poland",52.4073486,16.9410116
352,"Ewy Szelburg-Zarembiny, 60-461 Poznań, Poland",52.45235479999999,16.8601074
353,"Ezopa, 60-194 Poznań, Poland",52.40840799999999,16.8372577
354,"Fabianowo, Poznań, Poland",52.3672924,16.8495268
355,"Fabryczna, 61-001 Poznań, Poland",52.3878253,16.9133077
356,"Falista, 61-249 Poznań, Poland",52.3692988,16.9479325
357,"Faszynowa, Poznań, Poland",52.3646582,16.9346794
358,"Fedrusa, 60-194 Poznań, Poland",52.4075842,16.8368302
359,"Figowa, 61-613 Poznań, Poland",52.4632463,16.9588922
360,"Filarecka, 61-502 Poznań, Poland",52.3863722,16.9189936
361,"Filipińska, 61-001 Poznań, Poland",52.4113433,16.9538929
362,"Fiołkowa, 61-001 Poznań, Poland",52.3751034,16.9070469
363,"Firlika, 60-692 Poznań, Poland",52.4526529,16.9004583
364,"Floksowa, 60-175 Poznań, Poland",52.3852414,16.8161627
365,"Folwarczna, 61-001 Poznań, Poland",52.381153,17.0028605
366,"Forteczna, Poznań, Poland",52.3676095,16.9398635
367,"Franciszkańska, 61-001 Poznań, Poland",52.408513,16.9313475
368,"Franciszka Adamanisa, 60-177 Poznań, Poland",52.3919872,16.8336717
369,"Franciszka Jaśkowiaka, 61-680 Poznań, Poland",52.4889318,16.9257262
370,"Franciszka Rylla, 60-184 Poznań, Poland",52.4046691,16.8317563
371,"Franowo, 61-001 Poznań, Poland",52.3788464,16.9887938
372,"Fredry, 61-001 Poznań, Poland",52.4093209,16.9192269
373,"Fregatowa, 60-480 Poznań, Poland",52.4733059,16.7660882
374,"Frezjowa, 60-175 Poznań, Poland",52.3814329,16.8224704
375,"Fromborska, 60-454 Poznań, Poland",52.4399605,16.8289064
376,"Gajowa, 61-001 Poznań, Poland",52.4084792,16.9074781
377,"Gałczyńskiego, 60-194 Poznań, Poland",52.4079148,16.8520245
378,"Galeonowa, 60-480 Poznań, Poland",52.47373169999999,16.7663851
379,"Galileusza, Poznań, Poland",52.3869565,16.8619017
380,"Galla Anonima, 61-001 Poznań, Poland",52.4135909,16.8938023
381,"Garaszewo, Poznań, Poland",52.3575671,16.9649994
382,"Garbary, 61-001 Poznań, Poland",52.408829,16.9381321
383,"Garczyńskiego, 61-001 Poznań, Poland",52.3903587,16.9136538
384,"Gardowska, 61-001 Poznań, Poland",52.36743060000001,16.9960623
